published_at,current_converted,current_raw
2020-09-22 05:40:28.374000+00:00,20.6,384.71
2020-09-22 05:37:57.911000+00:00,20.6,384.15
2020-09-22 05:35:27.481000+00:00,20.61,384.01
2020-09-22 05:32:56.981000+00:00,20.6,385.12
2020-09-22 05:30:26.521000+00:00,20.61,383.78
2020-09-22 05:27:56.093000+00:00,20.61,384.06
2020-09-22 05:25:25.681000+00:00,20.6,384.2
2020-09-22 05:22:55.134000+00:00,20.61,383.97
2020-09-22 05:20:24.665000+00:00,20.6,384.36
2020-09-22 05:17:54.204000+00:00,20.6,384.98
2020-09-22 05:15:23.785000+00:00,20.6,385.0
2020-09-22 05:12:53.283000+00:00,20.6,384.5
2020-09-22 05:10:22.909000+00:00,20.6,384.18
2020-09-22 05:07:52.345000+00:00,20.61,383.57
2020-09-22 05:05:21.885000+00:00,20.61,383.32
2020-09-22 05:02:51.426000+00:00,20.6,384.3
2020-09-22 05:00:20.962000+00:00,20.61,383.77
2020-09-22 04:57:50.586000+00:00,20.6,384.65
2020-09-22 04:55:20.027000+00:00,20.6,384.43
2020-09-22 04:52:49.568000+00:00,20.6,384.93
2020-09-22 04:50:19.104000+00:00,20.6,384.17
2020-09-22 04:47:48.640000+00:00,20.61,383.91
2020-09-22 04:45:18.175000+00:00,20.61,383.25
2020-09-22 04:42:47.710000+00:00,20.61,383.98
2020-09-22 04:40:17.246000+00:00,20.61,383.25
2020-09-22 04:37:46.827000+00:00,20.61,382.95
2020-09-22 04:35:16.324000+00:00,20.62,382.29
2020-09-22 04:32:45.856000+00:00,20.62,382.15
2020-09-22 04:30:15.434000+00:00,20.63,381.3
2020-09-22 04:27:44.926000+00:00,20.63,381.18
2020-09-22 04:25:14.461000+00:00,20.62,382.36
2020-09-22 04:22:44.008000+00:00,20.61,384.01
2020-09-22 04:20:13.544000+00:00,20.58,387.05
2020-09-22 04:17:43.084000+00:00,20.58,387.27
2020-09-22 04:15:12.607000+00:00,20.56,389.17
2020-09-22 04:12:42.182000+00:00,20.56,389.97
2020-09-22 04:10:11.688000+00:00,20.55,390.62
2020-09-22 04:07:41.222000+00:00,20.54,392.13
2020-09-22 04:05:10.842000+00:00,20.54,392.35
2020-09-22 04:02:40.293000+00:00,20.53,393.74
2020-09-22 04:00:09.883000+00:00,20.52,394.21
2020-09-22 03:57:39.459000+00:00,20.53,393.95
2020-09-22 03:55:08.904000+00:00,20.52,394.23
2020-09-22 03:52:38.433000+00:00,20.52,394.37
2020-09-22 03:50:07.972000+00:00,20.53,393.76
2020-09-22 03:47:37.507000+00:00,20.53,393.37
2020-09-22 03:45:07.044000+00:00,20.53,393.0
2020-09-22 03:42:36.584000+00:00,20.53,393.63
2020-09-22 03:40:06.117000+00:00,20.53,393.64
